MovieID,Title,Genres,List Index,Recommendation Score
1,Toy Story (1995),Animation|Children's|Comedy,0,0.07641673
2,Jumanji (1995),Adventure|Children's|Fantasy,1,0.0088458955
3,Grumpier Old Men (1995),Comedy|Romance,2,0.023316264
4,Waiting to Exhale (1995),Comedy|Drama,3,0.00082448125
5,Father of the Bride Part II (1995),Comedy,4,0.0028584003
6,Heat (1995),Action|Crime|Thriller,5,0.024547845
7,Sabrina (1995),Comedy|Romance,6,0.006363243
8,Tom and Huck (1995),Adventure|Children's,7,0.0012282431
9,Sudden Death (1995),Action,8,0.0008994341
10,GoldenEye (1995),Action|Adventure|Thriller,9,0.023778498
11,"American President, The (1995)",Comedy|Drama|Romance,10,0.038155437
12,Dracula: Dead and Loving It (1995),Comedy|Horror,11,0.0008966923
13,Balto (1995),Animation|Children's,12,0.0015984774
14,Nixon (1995),Drama,13,0.0011050105
15,Cutthroat Island (1995),Action|Adventure|Romance,14,0.00137496
16,Casino (1995),Drama|Thriller,15,0.008181244
17,Sense and Sensibility (1995),Drama|Romance,16,0.033376187
18,Four Rooms (1995),Thriller,17,0.0012854338
19,Ace Ventura: When Nature Calls (1995),Comedy,18,0.0063138604
20,Money Train (1995),Action,19,0.0017875731
21,Get Shorty (1995),Action|Comedy|Drama,20,0.03714201
22,Copycat (1995),Crime|Drama|Thriller,21,0.0025555491
23,Assassins (1995),Thriller,22,0.0010385513
24,Powder (1995),Drama|Sci-Fi,23,0.028719693
25,Leaving Las Vegas (1995),Drama|Romance,24,0.023828536
26,Othello (1995),Drama,25,0.0010309815
27,Now and Then (1995),Drama,26,0.0010561645
28,Persuasion (1995),Romance,27,0.0016641617
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,28,0.017508209
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,29,0.0009582341
31,Dangerous Minds (1995),Drama,30,0.0011639297
32,Twelve Monkeys (1995),Drama|Sci-Fi,31,0.08489519
33,Wings of Courage (1995),Adventure|Romance,32,0.00016343594
34,Babe (1995),Children's|Comedy|Drama,33,0.06735921
35,Carrington (1995),Drama|Romance,34,0.0002962649
36,Dead Man Walking (1995),Drama,35,0.021286905
37,Across the Sea of Time (1995),Documentary,36,0.00024288893
38,It Takes Two (1995),Comedy,37,0.00021773577
39,Clueless (1995),Comedy|Romance,38,0.024632096
40,"Cry, the Beloved Country (1995)",Drama,39,0.00058954954
41,Richard III (1995),Drama|War,40,0.0067590773
42,Dead Presidents (1995),Action|Crime|Drama,41,0.002930075
43,Restoration (1995),Drama,42,0.007669121
44,Mortal Kombat (1995),Action|Adventure,43,0.004565239
45,To Die For (1995),Comedy|Drama,44,0.00706622
46,How to Make an American Quilt (1995),Drama|Romance,45,0.0019466281
47,Seven (Se7en) (1995),Crime|Thriller,46,0.03164819
48,Pocahontas (1995),Animation|Children's|Musical|Romance,47,0.008273512
49,When Night Is Falling (1995),Drama|Romance,48,0.00015953183
